Index,UNIQUE_SUBJECT_UID,Task,Train,Test,Congruency,Ratio,Validation Accuracy
0,size_equate_1_161,size,Average Diameter,Average Diameter,1,50,1.0
1,size_equate_1_162,size,Average Diameter,Average Diameter,1,50,1.0
2,size_equate_1_163,size,Average Diameter,Average Diameter,1,50,1.0
3,size_equate_1_164,size,Average Diameter,Average Diameter,1,50,1.0
4,size_equate_1_165,size,Average Diameter,Average Diameter,1,50,1.0
5,size_equate_1_166,size,Average Diameter,Average Diameter,1,50,1.0
6,size_equate_1_167,size,Average Diameter,Average Diameter,1,50,1.0
7,size_equate_1_168,size,Average Diameter,Average Diameter,1,50,1.0
8,size_equate_1_169,size,Average Diameter,Average Diameter,1,50,1.0
9,size_equate_1_170,size,Average Diameter,Average Diameter,1,50,1.0
10,size_equate_1_171,size,Average Diameter,Average Diameter,1,50,1.0
11,size_equate_1_172,size,Average Diameter,Average Diameter,1,50,1.0
12,size_equate_1_173,size,Average Diameter,Average Diameter,1,50,1.0
13,size_equate_1_174,size,Average Diameter,Average Diameter,1,50,1.0
14,size_equate_1_175,size,Average Diameter,Average Diameter,1,50,1.0
15,size_equate_1_176,size,Average Diameter,Average Diameter,1,50,1.0
16,size_equate_1_177,size,Average Diameter,Average Diameter,1,50,0.85
17,size_equate_1_178,size,Average Diameter,Average Diameter,1,50,1.0
18,size_equate_1_179,size,Average Diameter,Average Diameter,1,50,1.0
19,size_equate_1_180,size,Average Diameter,Average Diameter,1,50,1.0
20,size_equate_1_161,size,Average Diameter,Average Diameter,0,50,1.0
21,size_equate_1_162,size,Average Diameter,Average Diameter,0,50,0.8
22,size_equate_1_163,size,Average Diameter,Average Diameter,0,50,0.95
23,size_equate_1_164,size,Average Diameter,Average Diameter,0,50,1.0
24,size_equate_1_165,size,Average Diameter,Average Diameter,0,50,0.9
25,size_equate_1_166,size,Average Diameter,Average Diameter,0,50,0.95
26,size_equate_1_167,size,Average Diameter,Average Diameter,0,50,0.75
27,size_equate_1_168,size,Average Diameter,Average Diameter,0,50,1.0
28,size_equate_1_169,size,Average Diameter,Average Diameter,0,50,1.0
29,size_equate_1_170,size,Average Diameter,Average Diameter,0,50,0.95
30,size_equate_1_171,size,Average Diameter,Average Diameter,0,50,0.9
31,size_equate_1_172,size,Average Diameter,Average Diameter,0,50,0.9
32,size_equate_1_173,size,Average Diameter,Average Diameter,0,50,0.95
33,size_equate_1_174,size,Average Diameter,Average Diameter,0,50,0.7
34,size_equate_1_175,size,Average Diameter,Average Diameter,0,50,0.95
35,size_equate_1_176,size,Average Diameter,Average Diameter,0,50,0.95
36,size_equate_1_177,size,Average Diameter,Average Diameter,0,50,0.0
37,size_equate_1_178,size,Average Diameter,Average Diameter,0,50,1.0
38,size_equate_1_179,size,Average Diameter,Average Diameter,0,50,1.0
39,size_equate_1_180,size,Average Diameter,Average Diameter,0,50,0.95
40,size_equate_1_161,size,Average Diameter,Average Diameter,1,56,1.0
41,size_equate_1_162,size,Average Diameter,Average Diameter,1,56,1.0
42,size_equate_1_163,size,Average Diameter,Average Diameter,1,56,1.0
43,size_equate_1_164,size,Average Diameter,Average Diameter,1,56,1.0
44,size_equate_1_165,size,Average Diameter,Average Diameter,1,56,1.0
45,size_equate_1_166,size,Average Diameter,Average Diameter,1,56,1.0
46,size_equate_1_167,size,Average Diameter,Average Diameter,1,56,1.0
47,size_equate_1_168,size,Average Diameter,Average Diameter,1,56,1.0
48,size_equate_1_169,size,Average Diameter,Average Diameter,1,56,1.0
49,size_equate_1_170,size,Average Diameter,Average Diameter,1,56,1.0
50,size_equate_1_171,size,Average Diameter,Average Diameter,1,56,1.0
51,size_equate_1_172,size,Average Diameter,Average Diameter,1,56,1.0
52,size_equate_1_173,size,Average Diameter,Average Diameter,1,56,1.0
53,size_equate_1_174,size,Average Diameter,Average Diameter,1,56,1.0
54,size_equate_1_175,size,Average Diameter,Average Diameter,1,56,1.0
55,size_equate_1_176,size,Average Diameter,Average Diameter,1,56,1.0
56,size_equate_1_177,size,Average Diameter,Average Diameter,1,56,0.1
57,size_equate_1_178,size,Average Diameter,Average Diameter,1,56,1.0
58,size_equate_1_179,size,Average Diameter,Average Diameter,1,56,1.0
59,size_equate_1_180,size,Average Diameter,Average Diameter,1,56,1.0
60,size_equate_1_161,size,Average Diameter,Average Diameter,0,56,1.0
61,size_equate_1_162,size,Average Diameter,Average Diameter,0,56,1.0
62,size_equate_1_163,size,Average Diameter,Average Diameter,0,56,0.95
63,size_equate_1_164,size,Average Diameter,Average Diameter,0,56,1.0
64,size_equate_1_165,size,Average Diameter,Average Diameter,0,56,1.0
65,size_equate_1_166,size,Average Diameter,Average Diameter,0,56,1.0
66,size_equate_1_167,size,Average Diameter,Average Diameter,0,56,1.0
67,size_equate_1_168,size,Average Diameter,Average Diameter,0,56,1.0
68,size_equate_1_169,size,Average Diameter,Average Diameter,0,56,1.0
69,size_equate_1_170,size,Average Diameter,Average Diameter,0,56,1.0
70,size_equate_1_171,size,Average Diameter,Average Diameter,0,56,1.0
71,size_equate_1_172,size,Average Diameter,Average Diameter,0,56,1.0
72,size_equate_1_173,size,Average Diameter,Average Diameter,0,56,1.0
73,size_equate_1_174,size,Average Diameter,Average Diameter,0,56,1.0
74,size_equate_1_175,size,Average Diameter,Average Diameter,0,56,1.0
75,size_equate_1_176,size,Average Diameter,Average Diameter,0,56,1.0
76,size_equate_1_177,size,Average Diameter,Average Diameter,0,56,1.0
77,size_equate_1_178,size,Average Diameter,Average Diameter,0,56,0.7
78,size_equate_1_179,size,Average Diameter,Average Diameter,0,56,1.0
79,size_equate_1_180,size,Average Diameter,Average Diameter,0,56,0.95
80,size_equate_1_161,size,Average Diameter,Average Diameter,1,63,1.0
