UNIQUE_SUBJECT_UID,Task,Train,Generations
colors-count_equate_1_201,colors-count,AD-controlled,11.0
colors-count_equate_1_202,colors-count,AD-controlled,11.0
colors-count_equate_1_203,colors-count,AD-controlled,11.0
colors-count_equate_1_204,colors-count,AD-controlled,11.0
colors-count_equate_1_205,colors-count,AD-controlled,11.0
colors-count_equate_1_206,colors-count,AD-controlled,11.0
colors-count_equate_1_207,colors-count,AD-controlled,11.0
colors-count_equate_1_208,colors-count,AD-controlled,11.0
colors-count_equate_1_209,colors-count,AD-controlled,11.0
colors-count_equate_1_210,colors-count,AD-controlled,11.0
colors-count_equate_1_211,colors-count,AD-controlled,11.0
colors-count_equate_1_212,colors-count,AD-controlled,11.0
colors-count_equate_1_213,colors-count,AD-controlled,11.0
colors-count_equate_1_214,colors-count,AD-controlled,11.0
colors-count_equate_1_215,colors-count,AD-controlled,11.0
colors-count_equate_1_216,colors-count,AD-controlled,11.0
colors-count_equate_1_217,colors-count,AD-controlled,11.0
colors-count_equate_1_218,colors-count,AD-controlled,11.0
colors-count_equate_1_219,colors-count,AD-controlled,11.0
colors-count_equate_1_220,colors-count,AD-controlled,11.0
colors-count_equate_2_581,colors-count,TS-controlled,30.0
colors-count_equate_2_582,colors-count,TS-controlled,30.0
colors-count_equate_2_583,colors-count,TS-controlled,30.0
colors-count_equate_2_584,colors-count,TS-controlled,30.0
colors-count_equate_2_585,colors-count,TS-controlled,30.0
colors-count_equate_2_586,colors-count,TS-controlled,30.0
colors-count_equate_2_587,colors-count,TS-controlled,30.0
colors-count_equate_2_588,colors-count,TS-controlled,30.0
colors-count_equate_2_589,colors-count,TS-controlled,30.0
colors-count_equate_2_590,colors-count,TS-controlled,30.0
colors-count_equate_2_591,colors-count,TS-controlled,30.0
colors-count_equate_2_592,colors-count,TS-controlled,30.0
colors-count_equate_2_593,colors-count,TS-controlled,30.0
colors-count_equate_2_594,colors-count,TS-controlled,30.0
colors-count_equate_2_595,colors-count,TS-controlled,30.0
colors-count_equate_2_596,colors-count,TS-controlled,30.0
colors-count_equate_2_597,colors-count,TS-controlled,30.0
colors-count_equate_2_598,colors-count,TS-controlled,30.0
colors-count_equate_2_599,colors-count,TS-controlled,30.0
colors-count_equate_2_600,colors-count,TS-controlled,30.0
colors-count_equate_3_581,colors-count,CH-controlled,30.0
colors-count_equate_3_582,colors-count,CH-controlled,30.0
colors-count_equate_3_583,colors-count,CH-controlled,30.0
colors-count_equate_3_584,colors-count,CH-controlled,30.0
colors-count_equate_3_585,colors-count,CH-controlled,30.0
colors-count_equate_3_586,colors-count,CH-controlled,30.0
