UNIQUE_SUBJECT_UID,Task,Train,Generations
colors_equate_1_121,colors,AD-controlled,7.0
colors_equate_1_122,colors,AD-controlled,7.0
colors_equate_1_123,colors,AD-controlled,7.0
colors_equate_1_124,colors,AD-controlled,7.0
colors_equate_1_125,colors,AD-controlled,7.0
colors_equate_1_126,colors,AD-controlled,7.0
colors_equate_1_127,colors,AD-controlled,7.0
colors_equate_1_128,colors,AD-controlled,7.0
colors_equate_1_129,colors,AD-controlled,7.0
colors_equate_1_130,colors,AD-controlled,7.0
colors_equate_1_131,colors,AD-controlled,7.0
colors_equate_1_132,colors,AD-controlled,7.0
colors_equate_1_133,colors,AD-controlled,7.0
colors_equate_1_134,colors,AD-controlled,7.0
colors_equate_1_135,colors,AD-controlled,7.0
colors_equate_1_136,colors,AD-controlled,7.0
colors_equate_1_137,colors,AD-controlled,7.0
colors_equate_1_138,colors,AD-controlled,7.0
colors_equate_1_139,colors,AD-controlled,7.0
colors_equate_1_140,colors,AD-controlled,7.0
colors_equate_2_41,colors,TS-controlled,3.0
colors_equate_2_42,colors,TS-controlled,3.0
colors_equate_2_43,colors,TS-controlled,3.0
colors_equate_2_44,colors,TS-controlled,3.0
colors_equate_2_45,colors,TS-controlled,3.0
colors_equate_2_46,colors,TS-controlled,3.0
colors_equate_2_47,colors,TS-controlled,3.0
colors_equate_2_48,colors,TS-controlled,3.0
colors_equate_2_49,colors,TS-controlled,3.0
colors_equate_2_50,colors,TS-controlled,3.0
colors_equate_2_51,colors,TS-controlled,3.0
colors_equate_2_52,colors,TS-controlled,3.0
colors_equate_2_53,colors,TS-controlled,3.0
colors_equate_2_54,colors,TS-controlled,3.0
colors_equate_2_55,colors,TS-controlled,3.0
colors_equate_2_56,colors,TS-controlled,3.0
colors_equate_2_57,colors,TS-controlled,3.0
colors_equate_2_58,colors,TS-controlled,3.0
colors_equate_2_59,colors,TS-controlled,3.0
colors_equate_2_60,colors,TS-controlled,3.0
colors_equate_3_121,colors,CH-controlled,7.0
colors_equate_3_122,colors,CH-controlled,7.0
colors_equate_3_123,colors,CH-controlled,7.0
colors_equate_3_124,colors,CH-controlled,7.0
colors_equate_3_125,colors,CH-controlled,7.0
colors_equate_3_126,colors,CH-controlled,7.0
colors_equate_3_127,colors,CH-controlled,7.0
colors_equate_3_128,colors,CH-controlled,7.0
colors_equate_3_129,colors,CH-controlled,7.0
colors_equate_3_130,colors,CH-controlled,7.0
colors_equate_3_131,colors,CH-controlled,7.0
colors_equate_3_132,colors,CH-controlled,7.0
colors_equate_3_133,colors,CH-controlled,7.0
colors_equate_3_134,colors,CH-controlled,7.0
colors_equate_3_135,colors,CH-controlled,7.0
colors_equate_3_136,colors,CH-controlled,7.0
colors_equate_3_137,colors,CH-controlled,7.0
colors_equate_3_138,colors,CH-controlled,7.0
colors_equate_3_139,colors,CH-controlled,7.0
colors_equate_3_140,colors,CH-controlled,7.0
count-size_equate_1_100,count-size,AD-controlled,5.0
count-size_equate_1_81,count-size,AD-controlled,5.0
count-size_equate_1_82,count-size,AD-controlled,5.0
count-size_equate_1_83,count-size,AD-controlled,5.0
count-size_equate_1_84,count-size,AD-controlled,5.0
count-size_equate_1_85,count-size,AD-controlled,5.0
count-size_equate_1_86,count-size,AD-controlled,5.0
count-size_equate_1_87,count-size,AD-controlled,5.0
count-size_equate_1_88,count-size,AD-controlled,5.0
count-size_equate_1_89,count-size,AD-controlled,5.0
count-size_equate_1_90,count-size,AD-controlled,5.0
count-size_equate_1_91,count-size,AD-controlled,5.0
count-size_equate_1_92,count-size,AD-controlled,5.0
count-size_equate_1_93,count-size,AD-controlled,5.0
count-size_equate_1_94,count-size,AD-controlled,5.0
count-size_equate_1_95,count-size,AD-controlled,5.0
count-size_equate_1_96,count-size,AD-controlled,5.0
count-size_equate_1_97,count-size,AD-controlled,5.0
count-size_equate_1_98,count-size,AD-controlled,5.0
count-size_equate_1_99,count-size,AD-controlled,5.0
count-size_equate_2_581,count-size,TS-controlled,30.0
count-size_equate_2_582,count-size,TS-controlled,30.0
count-size_equate_2_583,count-size,TS-controlled,30.0
count-size_equate_2_584,count-size,TS-controlled,30.0
count-size_equate_2_585,count-size,TS-controlled,30.0
count-size_equate_2_586,count-size,TS-controlled,30.0
count-size_equate_2_587,count-size,TS-controlled,30.0
count-size_equate_2_588,count-size,TS-controlled,30.0
count-size_equate_2_589,count-size,TS-controlled,30.0
count-size_equate_2_590,count-size,TS-controlled,30.0
count-size_equate_2_591,count-size,TS-controlled,30.0
count-size_equate_2_592,count-size,TS-controlled,30.0
count-size_equate_2_593,count-size,TS-controlled,30.0
count-size_equate_2_594,count-size,TS-controlled,30.0
count-size_equate_2_595,count-size,TS-controlled,30.0
count-size_equate_2_597,count-size,TS-controlled,30.0
