,UNIQUE_SUBJECT_UID,Task,Generations,Train,Test,Congruity,Ratio,Training Accuracy,Validation Accuracy,Training Loss,Validation Loss,Layers,Neurons,Activation,Optimizer
0,size_equate_1_121,size,7,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.0775,0.0775,4,"[128, 16, 16, 128]",elu,adam
1,size_equate_1_122,size,7,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.514,0.514,4,"[16, 16, 64, 32]",relu,adagrad
2,size_equate_1_123,size,7,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.0299,0.0299,4,"[16, 16, 64, 128]",relu,adam
3,size_equate_1_124,size,7,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.5065,0.5065,4,"[64, 16, 128, 16]",elu,adam
4,size_equate_1_125,size,7,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.3596,0.3596,4,"[32, 16, 16, 32]",elu,nadam
5,size_equate_1_126,size,7,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.0414,0.0414,4,"[64, 16, 64, 64]",elu,adam
6,size_equate_1_127,size,7,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.3717,0.3717,4,"[64, 16, 64, 16]",elu,adam
7,size_equate_1_128,size,7,AD-controlled,AD-controlled,Congruent,50,0.65,0.65,,,4,"[64, 16, 64, 32]",elu,sgd
8,size_equate_1_129,size,7,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.0602,0.0602,4,"[128, 16, 16, 64]",elu,nadam
9,size_equate_1_130,size,7,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.593,0.593,4,"[16, 64, 16, 16]",relu,adam
10,size_equate_1_131,size,7,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.21,0.21,4,"[64, 16, 16, 128]",relu,adam
11,size_equate_1_132,size,7,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.0578,0.0578,4,"[64, 16, 64, 64]",elu,nadam
12,size_equate_1_133,size,7,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.5931,0.5931,4,"[32, 64, 16, 16]",relu,adam
13,size_equate_1_134,size,7,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.4344,0.4344,4,"[128, 32, 16, 16]",elu,adam
14,size_equate_1_135,size,7,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.2429,0.2429,4,"[64, 32, 64, 32]",elu,adam
15,size_equate_1_136,size,7,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.0313,0.0313,5,"[64, 64, 64, 128, 64]",elu,adam
16,size_equate_1_137,size,7,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.1089,0.1089,4,"[64, 16, 64, 128]",elu,adagrad
17,size_equate_1_138,size,7,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.0217,0.0217,4,"[128, 64, 16, 128]",elu,adam
18,size_equate_1_139,size,7,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.1868,0.1868,5,"[64, 16, 16, 64, 32]",elu,adam
19,size_equate_1_140,size,7,AD-controlled,AD-controlled,Congruent,50,1.0,1.0,0.184,0.184,4,"[64, 64, 64, 32]",elu,adam
20,size_equate_1_121,size,7,AD-controlled,AD-controlled,Incongruent,50,0.95,0.95,0.2931,0.2931,4,"[128, 16, 16, 128]",elu,adam
21,size_equate_1_122,size,7,AD-controlled,AD-controlled,Incongruent,50,0.85,0.85,0.63,0.63,4,"[16, 16, 64, 32]",relu,adagrad
22,size_equate_1_123,size,7,AD-controlled,AD-controlled,Incongruent,50,0.9,0.9,0.4876,0.4876,4,"[16, 16, 64, 128]",relu,adam
23,size_equate_1_124,size,7,AD-controlled,AD-controlled,Incongruent,50,0.85,0.85,0.6331,0.6331,4,"[64, 16, 128, 16]",elu,adam
24,size_equate_1_125,size,7,AD-controlled,AD-controlled,Incongruent,50,0.9,0.9,0.5679,0.5679,4,"[32, 16, 16, 32]",elu,nadam
25,size_equate_1_126,size,7,AD-controlled,AD-controlled,Incongruent,50,0.9,0.9,0.3014,0.3014,4,"[64, 16, 64, 64]",elu,adam
26,size_equate_1_127,size,7,AD-controlled,AD-controlled,Incongruent,50,0.9,0.9,0.584,0.584,4,"[64, 16, 64, 16]",elu,adam
27,size_equate_1_128,size,7,AD-controlled,AD-controlled,Incongruent,50,0.35,0.35,,,4,"[64, 16, 64, 32]",elu,sgd
28,size_equate_1_129,size,7,AD-controlled,AD-controlled,Incongruent,50,0.95,0.95,0.2777,0.2777,4,"[128, 16, 16, 64]",elu,nadam
