index,Task,Train,Test,Ratio,Accuracy_diff
0,colors-count,AD-controlled,AD-controlled,50,0.43999999999999995
1,colors-count,AD-controlled,AD-controlled,56,0.08000000000000007
2,colors-count,AD-controlled,AD-controlled,63,0.1725
3,colors-count,AD-controlled,AD-controlled,71,0.14
4,colors-count,AD-controlled,AD-controlled,75,0.1875
5,colors-count,AD-controlled,AD-controlled,86,0.05999999999999994
6,colors-count,AD-controlled,CH-controlled,50,0.795
7,colors-count,AD-controlled,CH-controlled,56,0.6775
8,colors-count,AD-controlled,CH-controlled,63,0.57
9,colors-count,AD-controlled,CH-controlled,71,0.62
10,colors-count,AD-controlled,CH-controlled,75,0.585
11,colors-count,AD-controlled,CH-controlled,86,0.59
12,colors-count,AD-controlled,TS-controlled,50,0.38749999999999996
13,colors-count,AD-controlled,TS-controlled,56,0.41250000000000003
14,colors-count,AD-controlled,TS-controlled,63,0.3425
15,colors-count,AD-controlled,TS-controlled,71,0.315
16,colors-count,AD-controlled,TS-controlled,75,0.3075
17,colors-count,AD-controlled,TS-controlled,86,-0.09500000000000003
18,colors-count,CH-controlled,AD-controlled,50,0.1725
19,colors-count,CH-controlled,AD-controlled,56,0.06000000000000005
20,colors-count,CH-controlled,AD-controlled,63,0.02749999999999997
21,colors-count,CH-controlled,AD-controlled,71,0.09750000000000003
22,colors-count,CH-controlled,AD-controlled,75,0.06000000000000005
23,colors-count,CH-controlled,AD-controlled,86,0.007499999999999951
24,colors-count,CH-controlled,CH-controlled,50,0.185
25,colors-count,CH-controlled,CH-controlled,56,0.06500000000000006
26,colors-count,CH-controlled,CH-controlled,63,0.1725
27,colors-count,CH-controlled,CH-controlled,71,0.125
28,colors-count,CH-controlled,CH-controlled,75,0.07250000000000001
29,colors-count,CH-controlled,CH-controlled,86,0.17000000000000004
30,colors-count,CH-controlled,TS-controlled,50,0.040000000000000036
31,colors-count,CH-controlled,TS-controlled,56,0.07250000000000001
32,colors-count,CH-controlled,TS-controlled,63,0.10500000000000004
33,colors-count,CH-controlled,TS-controlled,71,0.017500000000000016
34,colors-count,CH-controlled,TS-controlled,75,0.10999999999999993
35,colors-count,CH-controlled,TS-controlled,86,0.13749999999999996
36,colors-count,TS-controlled,AD-controlled,50,0.09499999999999997
37,colors-count,TS-controlled,AD-controlled,56,0.012499999999999956
38,colors-count,TS-controlled,AD-controlled,63,0.09500000000000008
39,colors-count,TS-controlled,AD-controlled,71,0.057499999999999996
40,colors-count,TS-controlled,AD-controlled,75,0.12750000000000006
41,colors-count,TS-controlled,AD-controlled,86,0.0675
42,colors-count,TS-controlled,CH-controlled,50,0.4675
43,colors-count,TS-controlled,CH-controlled,56,0.46749999999999997
44,colors-count,TS-controlled,CH-controlled,63,0.38
45,colors-count,TS-controlled,CH-controlled,71,0.22750000000000004
46,colors-count,TS-controlled,CH-controlled,75,0.31000000000000005
47,colors-count,TS-controlled,CH-controlled,86,0.34750000000000003
48,colors-count,TS-controlled,TS-controlled,50,0.04749999999999999
49,colors-count,TS-controlled,TS-controlled,56,0.10750000000000004
50,colors-count,TS-controlled,TS-controlled,63,0.13
51,colors-count,TS-controlled,TS-controlled,71,0.2725000000000001
52,colors-count,TS-controlled,TS-controlled,75,0.09750000000000003
53,colors-count,TS-controlled,TS-controlled,86,0.1725
54,count,AD-controlled,AD-controlled,50,0.6
55,count,AD-controlled,AD-controlled,56,0.22250000000000003
56,count,AD-controlled,AD-controlled,63,0.30500000000000005
57,count,AD-controlled,AD-controlled,71,0.24250000000000005
58,count,AD-controlled,AD-controlled,75,0.275
59,count,AD-controlled,AD-controlled,86,0.04999999999999993
60,count,AD-controlled,CH-controlled,50,0.6649999999999999
61,count,AD-controlled,CH-controlled,56,0.6950000000000001
62,count,AD-controlled,CH-controlled,63,0.595
63,count,AD-controlled,CH-controlled,71,0.675
64,count,AD-controlled,CH-controlled,75,0.585
65,count,AD-controlled,CH-controlled,86,0.5225
66,count,AD-controlled,TS-controlled,50,0.1875
67,count,AD-controlled,TS-controlled,56,0.38
68,count,AD-controlled,TS-controlled,63,0.405
69,count,AD-controlled,TS-controlled,71,0.2575
70,count,AD-controlled,TS-controlled,75,0.31249999999999994
71,count,AD-controlled,TS-controlled,86,0.14500000000000002
