,Task,Train,Congruity,Test,Ratio,Accuracy,std
1,colors-count,AD-controlled,Congruent,AD-controlled,50,0.975,0.08029550685469661
2,colors-count,AD-controlled,Congruent,AD-controlled,56,0.9675,0.14534441853748634
3,colors-count,AD-controlled,Congruent,AD-controlled,63,0.965,0.14518590623204808
4,colors-count,AD-controlled,Congruent,AD-controlled,71,0.96,0.14473205733717956
5,colors-count,AD-controlled,Congruent,AD-controlled,75,0.9475,0.14370565677618152
6,colors-count,AD-controlled,Congruent,AD-controlled,86,0.835,0.15736314020359674
7,colors-count,AD-controlled,Congruent,CH-controlled,50,0.9475,0.07859791077978706
8,colors-count,AD-controlled,Congruent,CH-controlled,56,0.9475,0.14997806857214685
9,colors-count,AD-controlled,Congruent,CH-controlled,63,0.945,0.15035046776746236
10,colors-count,AD-controlled,Congruent,CH-controlled,71,0.9025,0.1446183725679781
11,colors-count,AD-controlled,Congruent,CH-controlled,75,0.9275,0.1446183725679781
12,colors-count,AD-controlled,Congruent,CH-controlled,86,0.8775,0.13618389270240056
13,colors-count,AD-controlled,Congruent,TS-controlled,50,0.94,0.08045920836378093
14,colors-count,AD-controlled,Congruent,TS-controlled,56,0.8,0.14142135623730953
15,colors-count,AD-controlled,Congruent,TS-controlled,63,0.8175,0.16957764872579292
16,colors-count,AD-controlled,Congruent,TS-controlled,71,0.6975,0.1765718878500974
17,colors-count,AD-controlled,Congruent,TS-controlled,75,0.6925,0.1532756375052199
18,colors-count,AD-controlled,Congruent,TS-controlled,86,0.425,0.11297414701929306
19,colors-count,AD-controlled,Incongruent,AD-controlled,50,0.535,0.16391589627803516
20,colors-count,AD-controlled,Incongruent,AD-controlled,56,0.8875,0.13848332599611898
21,colors-count,AD-controlled,Incongruent,AD-controlled,63,0.7925,0.12060701733970104
22,colors-count,AD-controlled,Incongruent,AD-controlled,71,0.82,0.1507874069850104
23,colors-count,AD-controlled,Incongruent,AD-controlled,75,0.76,0.12834985083951722
24,colors-count,AD-controlled,Incongruent,AD-controlled,86,0.775,0.11865474018521575
25,colors-count,AD-controlled,Incongruent,CH-controlled,50,0.1525,0.1427871068925232
26,colors-count,AD-controlled,Incongruent,CH-controlled,56,0.27,0.09787209698591859
27,colors-count,AD-controlled,Incongruent,CH-controlled,63,0.375,0.08958970805552213
28,colors-count,AD-controlled,Incongruent,CH-controlled,71,0.2825,0.0949722951291863
29,colors-count,AD-controlled,Incongruent,CH-controlled,75,0.34249999999999997,0.05910516942393093
30,colors-count,AD-controlled,Incongruent,CH-controlled,86,0.2875,0.09441649053110653
31,colors-count,AD-controlled,Incongruent,TS-controlled,50,0.5525,0.07340407273943893
32,colors-count,AD-controlled,Incongruent,TS-controlled,56,0.3875,0.0840973746382884
33,colors-count,AD-controlled,Incongruent,TS-controlled,63,0.475,0.1446411166701189
34,colors-count,AD-controlled,Incongruent,TS-controlled,71,0.3825,0.11502288101892919
35,colors-count,AD-controlled,Incongruent,TS-controlled,75,0.385,0.09046662658857016
36,colors-count,AD-controlled,Incongruent,TS-controlled,86,0.52,0.08013147091860319
37,colors-count,CH-controlled,Congruent,AD-controlled,50,0.7,0.22594829403858613
38,colors-count,CH-controlled,Congruent,AD-controlled,56,0.7075,0.24348078925624111
39,colors-count,CH-controlled,Congruent,AD-controlled,63,0.6625,0.2321949045181882
40,colors-count,CH-controlled,Congruent,AD-controlled,71,0.68,0.22325345520989792
41,colors-count,CH-controlled,Congruent,AD-controlled,75,0.6175,0.21720412422177296
42,colors-count,CH-controlled,Congruent,AD-controlled,86,0.5475,0.16581140205857853
43,colors-count,CH-controlled,Congruent,CH-controlled,50,0.635,0.18644880770532388
44,colors-count,CH-controlled,Congruent,CH-controlled,56,0.6849999999999999,0.23902213066443956
45,colors-count,CH-controlled,Congruent,CH-controlled,63,0.7225,0.26181301081416664
46,colors-count,CH-controlled,Congruent,CH-controlled,71,0.6875,0.2344506456872275
47,colors-count,CH-controlled,Congruent,CH-controlled,75,0.6525,0.21118400557458492
48,colors-count,CH-controlled,Congruent,CH-controlled,86,0.645,0.19049796241485242
49,colors-count,CH-controlled,Congruent,TS-controlled,50,0.66,0.1825261336731927
50,colors-count,CH-controlled,Congruent,TS-controlled,56,0.6075,0.2014911516928878
51,colors-count,CH-controlled,Congruent,TS-controlled,63,0.5875,0.19390380143392322
52,colors-count,CH-controlled,Congruent,TS-controlled,71,0.51,0.1401127365636987
53,colors-count,CH-controlled,Congruent,TS-controlled,75,0.57,0.16335302423376125
54,colors-count,CH-controlled,Congruent,TS-controlled,86,0.565,0.1678815371811796
55,colors-count,CH-controlled,Incongruent,AD-controlled,50,0.5275,0.120825014837683
56,colors-count,CH-controlled,Incongruent,AD-controlled,56,0.6475,0.22564235791227347
57,colors-count,CH-controlled,Incongruent,AD-controlled,63,0.635,0.21095023109728986
58,colors-count,CH-controlled,Incongruent,AD-controlled,71,0.5825,0.1515490193407991
59,colors-count,CH-controlled,Incongruent,AD-controlled,75,0.5575,0.15582969786546502
60,colors-count,CH-controlled,Incongruent,AD-controlled,86,0.54,0.17213825532800206
61,colors-count,CH-controlled,Incongruent,CH-controlled,50,0.45,0.16463676125912688
62,colors-count,CH-controlled,Incongruent,CH-controlled,56,0.62,0.19628121608924703
63,colors-count,CH-controlled,Incongruent,CH-controlled,63,0.55,0.2115108557622118
64,colors-count,CH-controlled,Incongruent,CH-controlled,71,0.5625,0.16130634470505265
65,colors-count,CH-controlled,Incongruent,CH-controlled,75,0.58,0.18453355136383023
66,colors-count,CH-controlled,Incongruent,CH-controlled,86,0.475,0.1743408639479146
67,colors-count,CH-controlled,Incongruent,TS-controlled,50,0.62,0.14814644248530787
68,colors-count,CH-controlled,Incongruent,TS-controlled,56,0.535,0.15052539565416231
69,colors-count,CH-controlled,Incongruent,TS-controlled,63,0.4825,0.13980719806783537
70,colors-count,CH-controlled,Incongruent,TS-controlled,71,0.4925,0.12594380534692112
71,colors-count,CH-controlled,Incongruent,TS-controlled,75,0.46,0.12732056517228266
72,colors-count,CH-controlled,Incongruent,TS-controlled,86,0.4275,0.13714667522880675
73,colors-count,TS-controlled,Congruent,AD-controlled,50,0.9475,0.16097973066262264
74,colors-count,TS-controlled,Congruent,AD-controlled,56,0.95,0.1614082760546911
75,colors-count,TS-controlled,Congruent,AD-controlled,63,0.9349999999999999,0.15819707895366994
76,colors-count,TS-controlled,Congruent,AD-controlled,71,0.83,0.12916737407842505
77,colors-count,TS-controlled,Congruent,AD-controlled,75,0.895,0.15381123085406379
78,colors-count,TS-controlled,Congruent,AD-controlled,86,0.7075,0.11951106533221979
79,colors-count,TS-controlled,Congruent,CH-controlled,50,0.9349999999999999,0.15819707895366994
80,colors-count,TS-controlled,Congruent,CH-controlled,56,0.87,0.14635932710824734
81,colors-count,TS-controlled,Congruent,CH-controlled,63,0.785,0.11821033884786185
82,colors-count,TS-controlled,Congruent,CH-controlled,71,0.805,0.11909748329127609
83,colors-count,TS-controlled,Congruent,CH-controlled,75,0.8,0.12460463791317594
84,colors-count,TS-controlled,Congruent,CH-controlled,86,0.79,0.1187655806953123
85,colors-count,TS-controlled,Congruent,TS-controlled,50,0.9375,0.15884037005086188
86,colors-count,TS-controlled,Congruent,TS-controlled,56,0.9425,0.15999588810505824
87,colors-count,TS-controlled,Congruent,TS-controlled,63,0.9375,0.1604885632914957
88,colors-count,TS-controlled,Congruent,TS-controlled,71,0.8575,0.1462469072997335
