,Task,Train,Congruity,Test,Ratio,Accuracy,std
1,colors-count,AD-controlled,Congruent,AD-controlled,50,0.975,0.08029550685
2,colors-count,AD-controlled,Congruent,AD-controlled,56,0.9675,0.1453444185
3,colors-count,AD-controlled,Congruent,AD-controlled,63,0.965,0.1451859062
4,colors-count,AD-controlled,Congruent,AD-controlled,71,0.96,0.1447320573
5,colors-count,AD-controlled,Congruent,AD-controlled,75,0.9475,0.1437056568
6,colors-count,AD-controlled,Congruent,AD-controlled,86,0.835,0.1573631402
7,colors-count,AD-controlled,Congruent,CH-controlled,50,0.9475,0.07859791078
8,colors-count,AD-controlled,Congruent,CH-controlled,56,0.9475,0.1499780686
9,colors-count,AD-controlled,Congruent,CH-controlled,63,0.945,0.1503504678
10,colors-count,AD-controlled,Congruent,CH-controlled,71,0.9025,0.1446183726
11,colors-count,AD-controlled,Congruent,CH-controlled,75,0.9275,0.1446183726
12,colors-count,AD-controlled,Congruent,CH-controlled,86,0.8775,0.1361838927
13,colors-count,AD-controlled,Congruent,TS-controlled,50,0.94,0.08045920836
14,colors-count,AD-controlled,Congruent,TS-controlled,56,0.8,0.1414213562
15,colors-count,AD-controlled,Congruent,TS-controlled,63,0.8175,0.1695776487
16,colors-count,AD-controlled,Congruent,TS-controlled,71,0.6975,0.1765718879
17,colors-count,AD-controlled,Congruent,TS-controlled,75,0.6925,0.1532756375
18,colors-count,AD-controlled,Congruent,TS-controlled,86,0.425,0.112974147
37,colors-count,CH-controlled,Congruent,AD-controlled,50,0.7,0.225948294
38,colors-count,CH-controlled,Congruent,AD-controlled,56,0.7075,0.2434807893
39,colors-count,CH-controlled,Congruent,AD-controlled,63,0.6625,0.2321949045
40,colors-count,CH-controlled,Congruent,AD-controlled,71,0.68,0.2232534552
41,colors-count,CH-controlled,Congruent,AD-controlled,75,0.6175,0.2172041242
42,colors-count,CH-controlled,Congruent,AD-controlled,86,0.5475,0.1658114021
43,colors-count,CH-controlled,Congruent,CH-controlled,50,0.635,0.1864488077
44,colors-count,CH-controlled,Congruent,CH-controlled,56,0.685,0.2390221307
45,colors-count,CH-controlled,Congruent,CH-controlled,63,0.7225,0.2618130108
46,colors-count,CH-controlled,Congruent,CH-controlled,71,0.6875,0.2344506457
47,colors-count,CH-controlled,Congruent,CH-controlled,75,0.6525,0.2111840056
48,colors-count,CH-controlled,Congruent,CH-controlled,86,0.645,0.1904979624
49,colors-count,CH-controlled,Congruent,TS-controlled,50,0.66,0.1825261337
50,colors-count,CH-controlled,Congruent,TS-controlled,56,0.6075,0.2014911517
51,colors-count,CH-controlled,Congruent,TS-controlled,63,0.5875,0.1939038014
52,colors-count,CH-controlled,Congruent,TS-controlled,71,0.51,0.1401127366
53,colors-count,CH-controlled,Congruent,TS-controlled,75,0.57,0.1633530242
54,colors-count,CH-controlled,Congruent,TS-controlled,86,0.565,0.1678815372
73,colors-count,TS-controlled,Congruent,AD-controlled,50,0.9475,0.1609797307
74,colors-count,TS-controlled,Congruent,AD-controlled,56,0.95,0.1614082761
75,colors-count,TS-controlled,Congruent,AD-controlled,63,0.935,0.158197079
76,colors-count,TS-controlled,Congruent,AD-controlled,71,0.83,0.1291673741
77,colors-count,TS-controlled,Congruent,AD-controlled,75,0.895,0.1538112309
78,colors-count,TS-controlled,Congruent,AD-controlled,86,0.7075,0.1195110653
79,colors-count,TS-controlled,Congruent,CH-controlled,50,0.935,0.158197079
80,colors-count,TS-controlled,Congruent,CH-controlled,56,0.87,0.1463593271
81,colors-count,TS-controlled,Congruent,CH-controlled,63,0.785,0.1182103388
82,colors-count,TS-controlled,Congruent,CH-controlled,71,0.805,0.1190974833
83,colors-count,TS-controlled,Congruent,CH-controlled,75,0.8,0.1246046379
84,colors-count,TS-controlled,Congruent,CH-controlled,86,0.79,0.1187655807
85,colors-count,TS-controlled,Congruent,TS-controlled,50,0.9375,0.1588403701
86,colors-count,TS-controlled,Congruent,TS-controlled,56,0.9425,0.1599958881
87,colors-count,TS-controlled,Congruent,TS-controlled,63,0.9375,0.1604885633
88,colors-count,TS-controlled,Congruent,TS-controlled,71,0.8575,0.1462469073
89,colors-count,TS-controlled,Congruent,TS-controlled,75,0.7925,0.1290399775
90,colors-count,TS-controlled,Congruent,TS-controlled,86,0.7675,0.1280162407
109,count,AD-controlled,Congruent,AD-controlled,50,0.96,0.1447320573
110,count,AD-controlled,Congruent,AD-controlled,56,0.9775,0.07859791078
111,count,AD-controlled,Congruent,AD-controlled,63,0.9725,0.08187763656
112,count,AD-controlled,Congruent,AD-controlled,71,0.9425,0.115022881
113,count,AD-controlled,Congruent,AD-controlled,75,0.9575,0.1054751155
114,count,AD-controlled,Congruent,AD-controlled,86,0.9025,0.1409320478
115,count,AD-controlled,Congruent,CH-controlled,50,0.8975,0.145525364
116,count,AD-controlled,Congruent,CH-controlled,56,0.9475,0.1292437518
117,count,AD-controlled,Congruent,CH-controlled,63,0.85,0.09459053029
118,count,AD-controlled,Congruent,CH-controlled,71,0.93,0.1600986538
119,count,AD-controlled,Congruent,CH-controlled,75,0.925,0.1802775638
120,count,AD-controlled,Congruent,CH-controlled,86,0.88,0.1321880638
121,count,AD-controlled,Congruent,TS-controlled,50,0.925,0.1560195669
122,count,AD-controlled,Congruent,TS-controlled,56,0.7875,0.1223401212
123,count,AD-controlled,Congruent,TS-controlled,63,0.88,0.1735086832
124,count,AD-controlled,Congruent,TS-controlled,71,0.64,0.0954215026
125,count,AD-controlled,Congruent,TS-controlled,75,0.7575,0.1541316935
126,count,AD-controlled,Congruent,TS-controlled,86,0.51,0.06198471798
145,count,CH-controlled,Congruent,AD-controlled,50,0.8125,0.1669186691
146,count,CH-controlled,Congruent,AD-controlled,56,0.9225,0.09385739463
147,count,CH-controlled,Congruent,AD-controlled,63,0.8875,0.08409737464
148,count,CH-controlled,Congruent,AD-controlled,71,0.8775,0.08656454847
149,count,CH-controlled,Congruent,AD-controlled,75,0.84,0.07362779795
150,count,CH-controlled,Congruent,AD-controlled,86,0.7625,0.07926471306
151,count,CH-controlled,Congruent,CH-controlled,50,0.785,0.1288614107
152,count,CH-controlled,Congruent,CH-controlled,56,0.8325,0.09497229513
